Complexity,Loss,Equation
1,0.14603919,"-0.14276357"
3,0.141194,"n_e * -0.0011562258"
4,0.13930435,"log10(logR_u + -2.028636)"
5,0.13171656,"n_e / (9309.817 - T_e)"
7,0.12587315,"(n_e * -2.5294447) / (T_e + -8867.256)"
8,0.11848328,"n_e / (3897.8403 - (T_e * log10(logR_u)))"
10,0.116549954,"n_e / (3753.277 - ((log10(logR_u) * T_e) - n_e))"
11,0.1133858,"(A_neb + -0.18189177) + (n_e * (3.1027112 / (9089.152 - T_e)))"
12,0.113161355,"((n_e * 2.606305) / (8982.66 - T_e)) + log10(A_neb + 0.7898999)"
13,0.10959491,"(A_neb * (((n_e / (7346.9697 - T_e)) * 19.537308) + 1.1752683)) - 0.2616939"
14,0.10510749,"log10((logR_u + -1.9130641) + A_neb) + ((n_e / (8896.827 - T_e)) * 3.1645706)"
16,0.104192406,"((n_e * 3.210098) / (8895.337 - T_e)) + (fneb_4020 + log10(A_neb + (logR_u + -2.0328517)))"
17,0.10275783,"((A_neb * (((n_e * 19.714882) / (7366.687 - T_e)) + 1.1553924)) - 0.25847414) / (Pop_10Myr * 0.018211091)"
18,0.10258922,"(exp(logR_u - log10(Pop_10Myr)) * (n_e / (8891.001 - T_e))) + log10(A_neb + (logR_u + -1.9493277))"
19,0.102346875,"((A_neb * (fneb_4020 + ((n_e * (19.71483 / (7366.687 - T_e))) + 1.1552858))) - 0.25909367) / (Pop_10Myr * 0.018069549)"
20,0.099873535,"((-0.06278096 / (0.56972104 - A_neb)) + 1.3397396) * ((-1.6620791 / exp(exp(logR_u - log10(n_e)))) - (A_neb / -3.4433045))"
21,0.09417086,"((log10(fneb_4020) / exp(exp(logR_u - log10(n_e)))) - (A_neb / -3.8454595)) * ((-0.07040351 / (0.5696148 - A_neb)) + 2.036567)"
23,0.09111364,"(2.1765819 + (-0.07017086 / (0.5699749 - A_neb))) * ((log10(fneb_4020) / exp(exp(logR_u - log10(n_e)))) - (A_neb / (-0.37753803 * lgt_av_M)))"
24,0.08817896,"((log10(fneb_4020) * (exp(A_neb) / exp(exp(logR_u - log10(n_e))))) - (A_neb / -2.3001757)) * ((-0.052471288 / (0.5703849 - A_neb)) + 1.737414)"
26,0.08423722,"((-0.0362884 / (0.56856006 - A_neb)) + 1.7805113) * (((log10(fneb_4020) * exp(A_neb)) / exp(exp(logR_u - log10(n_e)))) - (A_neb / (lgt_av_M * -0.23255764)))"
28,0.08310547,"(((exp(A_neb) * log10(fneb_4020)) / exp(exp(logR_u - log10(n_e)))) - (A_neb / (lgt_av_M * -0.2428339))) * ((A_v + (-0.052608635 / (0.5699878 - A_neb))) + 1.6826096)"
29,0.0791295,"(((-0.0057926304 / (0.577911 - A_neb)) - A_neb) + 0.6725373) * ((A_neb * 2.3738136) + ((((n_e / exp(exp(logR_u / 1.1540824))) - -0.0049642953) / (A_neb + -0.49276328)) / fneb_4020))"
