Complexity,Loss,Equation
1,0.20210971,"fneb_4020"
3,0.20129173,"fneb_4020 + -0.028608385"
4,0.19950457,"log10(T_e) + -4.0290475"
5,0.18001236,"-0.5145838 / (n_e - Pop_10Myr)"
6,0.17995465,"0.0039684935 / log10(Pop_10Myr / n_e)"
7,0.17635597,"fneb_4020 - (0.5176298 / (n_e - Pop_10Myr))"
8,0.175298,"fneb_4020 + (0.004069097 / log10(Pop_10Myr / n_e))"
9,0.17208035,"(n_e / (2.3475306 - (A_v / fneb_4020))) * 0.0012141542"
10,0.17201237,"0.1308 / (logR_u - exp(A_v / (logR_u * fneb_4020)))"
11,0.16074394,"((n_e * 0.0019551713) + -0.09462436) / (2.4237547 - (A_v / fneb_4020))"
12,0.15656558,"(n_e * -0.0011670965) / (exp((A_v / fneb_4020) / logR_u) - logR_u)"
14,0.14984967,"((Pop_10Myr * n_e) / (exp((A_v / fneb_4020) / logR_u) - logR_u)) * -2.2798378e-5"
15,0.1420585,"(n_e * (0.001322082 / (2.3379464 - (A_v / fneb_4020)))) + (-0.56128377 / (n_e - Pop_10Myr))"
16,0.14191744,"(-0.13998263 / (exp((A_v / fneb_4020) / logR_u) - logR_u)) + (-0.5612408 / (n_e - Pop_10Myr))"
17,0.13736486,"((n_e * 0.0016600951) / (logR_u - ((A_v / fneb_4020) / 0.9219682))) + (-0.5488453 / (n_e - Pop_10Myr))"
18,0.12826644,"((-0.009613342 / (n_e - Pop_10Myr)) + (-0.0012057733 / (exp(A_v / (logR_u * fneb_4020)) - logR_u))) * n_e"
20,0.119227335,"(((n_e * -2.3799466e-5) / (exp((A_v / fneb_4020) / logR_u) - logR_u)) + (-0.010039108 / (n_e - Pop_10Myr))) * Pop_10Myr"
22,0.116520636,"((((Pop_10Myr * -2.344153e-5) / (exp((A_v / fneb_4020) / logR_u) - logR_u)) + (-0.010213404 / (n_e - Pop_10Myr))) * n_e) + fneb_4020"
24,0.10818796,"((-0.009654059 / (n_e - Pop_10Myr)) + ((A_v * 0.006687524) + ((n_e * -2.59811e-5) / (exp((A_v / fneb_4020) / logR_u) - logR_u)))) * Pop_10Myr"
26,0.104962386,"(-0.7317863 / (n_e - (Pop_10Myr + A_v))) + (((A_v * 0.0071172873) + ((-2.637364e-5 / (exp((A_v / fneb_4020) / logR_u) - logR_u)) * n_e)) * Pop_10Myr)"
28,0.102029726,"(-0.7569609 / (n_e - (A_v + Pop_10Myr))) + ((((n_e * -2.5940837e-5) / (exp((A_v / fneb_4020) / logR_u) - logR_u)) + (Pop_10Myr * (A_v / T_e))) * Pop_10Myr)"
30,0.10146498,"((-0.7513378 / (n_e - (A_v + Pop_10Myr))) - 0.02382672) + ((((Pop_10Myr * A_v) / T_e) + ((n_e * -2.5982077e-5) / (exp((A_v / fneb_4020) / logR_u) - logR_u))) * Pop_10Myr)"
