,complexity,loss,equation,score,sympy_format,lambda_format
0,1,0.14603919,-0.14276357,0.0,-0.142763570000000,PySRFunction(X=>-0.142763570000000)
1,3,0.141194,n_e * -0.0011562258,0.01687008955398649,n_e*(-0.0011562258),PySRFunction(X=>n_e*(-0.0011562258))
2,4,0.13930435,log10(logR_u + -2.028636),0.013473723373851842,log10(logR_u - 2.028636),PySRFunction(X=>log10(logR_u - 2.028636))
3,5,0.13171656,n_e / (9309.817 - T_e),0.0560087667011023,n_e/(9309.817 - T_e),PySRFunction(X=>n_e/(9309.817 - T_e))
4,7,0.12587315,(n_e * -2.5294447) / (T_e + -8867.256),0.022688843676463552,n_e*(-2.5294447)/(T_e - 8867.256),PySRFunction(X=>n_e*(-2.5294447)/(T_e - 8867.256))
5,8,0.11848328,n_e / (3897.8403 - (T_e * log10(logR_u))),0.06050280023691598,n_e/(3897.8403 - T_e*log10(logR_u)),PySRFunction(X=>n_e/(3897.8403 - T_e*log10(logR_u)))
6,10,0.116549954,n_e / (3753.277 - ((log10(logR_u) * T_e) - n_e)),0.008225941386177032,n_e/(3753.277 - (T_e*log10(logR_u) - n_e)),PySRFunction(X=>n_e/(3753.277 - (T_e*log10(logR_u) - n_e)))
7,11,0.1133858,(A_neb + -0.18189177) + (n_e * (3.1027112 / (9089.152 - T_e))),0.027523807806931883,A_neb + n_e*3.1027112/(9089.152 - T_e) - 0.18189177,PySRFunction(X=>A_neb + n_e*3.1027112/(9089.152 - T_e) - 0.18189177)
8,12,0.113161355,((n_e * 2.606305) / (8982.66 - T_e)) + log10(A_neb + 0.7898999),0.0019814424368564056,n_e*2.606305/(8982.66 - T_e) + log10(A_neb + 0.7898999),PySRFunction(X=>n_e*2.606305/(8982.66 - T_e) + log10(A_neb + 0.7898999))
9,13,0.10959491,(A_neb * (((n_e / (7346.9697 - T_e)) * 19.537308) + 1.1752683)) - 0.2616939,0.032023788727874314,A_neb*(n_e*19.537308/(7346.9697 - T_e) + 1.1752683) - 1*0.2616939,PySRFunction(X=>A_neb*(n_e*19.537308/(7346.9697 - T_e) + 1.1752683) - 1*0.2616939)
10,14,0.10510749,log10((logR_u + -1.9130641) + A_neb) + ((n_e / (8896.827 - T_e)) * 3.1645706),0.041807391024522675,n_e*3.1645706/(8896.827 - T_e) + log10(A_neb + logR_u - 1.9130641),PySRFunction(X=>n_e*3.1645706/(8896.827 - T_e) + log10(A_neb + logR_u - 1.9130641))
