,complexity,loss,equation,score,sympy_format,lambda_format
0,1,0.20210971,fneb_4020,0.0,fneb_4020,PySRFunction(X=>fneb_4020)
1,3,0.20129173,fneb_4020 + -0.028608385,0.0020277099681911014,fneb_4020 - 0.028608385,PySRFunction(X=>fneb_4020 - 0.028608385)
2,4,0.19950457,log10(T_e) + -4.0290475,0.008918105505341745,log10(T_e) - 4.0290475,PySRFunction(X=>log10(T_e) - 4.0290475)
3,5,0.18001236,-0.5145838 / (n_e - Pop_10Myr),0.10281162813629159,-0.5145838/(-Pop_10Myr + n_e),PySRFunction(X=>-0.5145838/(-Pop_10Myr + n_e))
4,6,0.17995465,0.0039684935 / log10(Pop_10Myr / n_e),0.00032064049699697864,0.0039684935/log10(Pop_10Myr/n_e),PySRFunction(X=>0.0039684935/log10(Pop_10Myr/n_e))
5,7,0.17635597,fneb_4020 - (0.5176298 / (n_e - Pop_10Myr)),0.02020036546040173,fneb_4020 - 0.5176298/(-Pop_10Myr + n_e),PySRFunction(X=>fneb_4020 - 0.5176298/(-Pop_10Myr + n_e))
6,8,0.175298,fneb_4020 + (0.004069097 / log10(Pop_10Myr / n_e)),0.006017126393045661,fneb_4020 + 0.004069097/log10(Pop_10Myr/n_e),PySRFunction(X=>fneb_4020 + 0.004069097/log10(Pop_10Myr/n_e))
7,9,0.17208035,(n_e / (2.3475306 - (A_v / fneb_4020))) * 0.0012141542,0.018525863953875732,n_e*0.0012141542/(2.3475306 - A_v/fneb_4020),PySRFunction(X=>n_e*0.0012141542/(2.3475306 - A_v/fneb_4020))
8,10,0.17201237,0.1308 / (logR_u - exp(A_v / (logR_u * fneb_4020))),0.00039512606302413657,0.1308/(logR_u - exp(A_v/((fneb_4020*logR_u)))),PySRFunction(X=>0.1308/(logR_u - exp(A_v/((fneb_4020*logR_u)))))
9,11,0.16074394,((n_e * 0.0019551713) + -0.09462436) / (2.4237547 - (A_v / fneb_4020)),0.06775372871422401,(n_e*0.0019551713 - 0.09462436)/(2.4237547 - A_v/fneb_4020),PySRFunction(X=>(n_e*0.0019551713 - 0.09462436)/(2.4237547 - A_v/fneb_4020))
10,12,0.15656558,(n_e * -0.0011670965) / (exp((A_v / fneb_4020) / logR_u) - logR_u),0.026337700377490877,n_e*(-0.0011670965)/(-logR_u + exp(A_v/(fneb_4020*logR_u))),PySRFunction(X=>n_e*(-0.0011670965)/(-logR_u + exp(A_v/(fneb_4020*logR_u))))
11,14,0.14984967,((Pop_10Myr * n_e) / (exp((A_v / fneb_4020) / logR_u) - logR_u)) * -2.2798378e-5,0.021921186091162705,Pop_10Myr*n_e*(-2.2798378e-5)/(-logR_u + exp(A_v/(fneb_4020*logR_u))),PySRFunction(X=>Pop_10Myr*n_e*(-2.2798378e-5)/(-logR_u + exp(A_v/(fneb_4020*logR_u))))
12,15,0.1420585,(n_e * (0.001322082 / (2.3379464 - (A_v / fneb_4020)))) + (-0.56128377 / (n_e - Pop_10Myr)),0.0533936469628937,n_e*0.001322082/(2.3379464 - A_v/fneb_4020) - 0.56128377/(-Pop_10Myr + n_e),PySRFunction(X=>n_e*0.001322082/(2.3379464 - A_v/fneb_4020) - 0.56128377/(-Pop_10Myr + n_e))
13,16,0.14191744,(-0.13998263 / (exp((A_v / fneb_4020) / logR_u) - logR_u)) + (-0.5612408 / (n_e - Pop_10Myr)),0.0009934645280290056,-0.13998263/(-logR_u + exp(A_v/(fneb_4020*logR_u))) - 0.5612408/(-Pop_10Myr + n_e),PySRFunction(X=>-0.13998263/(-logR_u + exp(A_v/(fneb_4020*logR_u))) - 0.5612408/(-Pop_10Myr + n_e))
14,17,0.13736486,((n_e * 0.0016600951) / (logR_u - ((A_v / fneb_4020) / 0.9219682))) + (-0.5488453 / (n_e - Pop_10Myr)),0.03260488262448759,n_e*0.0016600951/(-A_v/(0.9219682*fneb_4020) + logR_u) - 0.5488453/(-Pop_10Myr + n_e),PySRFunction(X=>n_e*0.0016600951/(-A_v/(0.9219682*fneb_4020) + logR_u) - 0.5488453/(-Pop_10Myr + n_e))
15,18,0.12826644,((-0.009613342 / (n_e - Pop_10Myr)) + (-0.0012057733 / (exp(A_v / (logR_u * fneb_4020)) - logR_u))) * n_e,0.06853093447252154,n_e*(-0.0012057733/(-logR_u + exp(A_v/((fneb_4020*logR_u)))) - 0.009613342/(-Pop_10Myr + n_e)),PySRFunction(X=>n_e*(-0.0012057733/(-logR_u + exp(A_v/((fneb_4020*logR_u)))) - 0.009613342/(-Pop_10Myr + n_e)))
16,20,0.119227335,(((n_e * -2.3799466e-5) / (exp((A_v / fneb_4020) / logR_u) - logR_u)) + (-0.010039108 / (n_e - Pop_10Myr))) * Pop_10Myr,0.0365388070794925,Pop_10Myr*(n_e*(-2.3799466e-5)/(-logR_u + exp(A_v/(fneb_4020*logR_u))) - 0.010039108/(-Pop_10Myr + n_e)),PySRFunction(X=>Pop_10Myr*(n_e*(-2.3799466e-5)/(-logR_u + exp(A_v/(fneb_4020*logR_u))) - 0.010039108/(-Pop_10Myr + n_e)))
17,22,0.116520636,((((Pop_10Myr * -2.344153e-5) / (exp((A_v / fneb_4020) / logR_u) - logR_u)) + (-0.010213404 / (n_e - Pop_10Myr))) * n_e) + fneb_4020,0.0114818292221843,fneb_4020 + n_e*(Pop_10Myr*(-2.344153e-5)/(-logR_u + exp(A_v/(fneb_4020*logR_u))) - 0.010213404/(-Pop_10Myr + n_e)),PySRFunction(X=>fneb_4020 + n_e*(Pop_10Myr*(-2.344153e-5)/(-logR_u + exp(A_v/(fneb_4020*logR_u))) - 0.010213404/(-Pop_10Myr + n_e)))
18,24,0.10818796,((-0.009654059 / (n_e - Pop_10Myr)) + ((A_v * 0.006687524) + ((n_e * -2.59811e-5) / (exp((A_v / fneb_4020) / logR_u) - logR_u)))) * Pop_10Myr,0.03709915278092169,Pop_10Myr*(A_v*0.006687524 + n_e*(-2.59811e-5)/(-logR_u + exp(A_v/(fneb_4020*logR_u))) - 0.009654059/(-Pop_10Myr + n_e)),PySRFunction(X=>Pop_10Myr*(A_v*0.006687524 + n_e*(-2.59811e-5)/(-logR_u + exp(A_v/(fneb_4020*logR_u))) - 0.009654059/(-Pop_10Myr + n_e)))
19,26,0.104962386,(-0.7317863 / (n_e - (Pop_10Myr + A_v))) + (((A_v * 0.0071172873) + ((-2.637364e-5 / (exp((A_v / fneb_4020) / logR_u) - logR_u)) * n_e)) * Pop_10Myr),0.015134013699001888,Pop_10Myr*(A_v*0.0071172873 - 2.637364e-5*n_e/(-logR_u + exp(A_v/(fneb_4020*logR_u)))) - 0.7317863/(n_e - (A_v + Pop_10Myr)),PySRFunction(X=>Pop_10Myr*(A_v*0.0071172873 - 2.637364e-5*n_e/(-logR_u + exp(A_v/(fneb_4020*logR_u)))) - 0.7317863/(n_e - (A_v + Pop_10Myr)))
20,28,0.102029726,(-0.7569609 / (n_e - (A_v + Pop_10Myr))) + ((((n_e * -2.5940837e-5) / (exp((A_v / fneb_4020) / logR_u) - logR_u)) + (Pop_10Myr * (A_v / T_e))) * Pop_10Myr),0.014168927603983018,Pop_10Myr*(A_v*Pop_10Myr/T_e + n_e*(-2.5940837e-5)/(-logR_u + exp(A_v/(fneb_4020*logR_u)))) - 0.7569609/(n_e - (A_v + Pop_10Myr)),PySRFunction(X=>Pop_10Myr*(A_v*Pop_10Myr/T_e + n_e*(-2.5940837e-5)/(-logR_u + exp(A_v/(fneb_4020*logR_u)))) - 0.7569609/(n_e - (A_v + Pop_10Myr)))
21,30,0.10146498,((-0.7513378 / (n_e - (A_v + Pop_10Myr))) - 0.02382672) + ((((Pop_10Myr * A_v) / T_e) + ((n_e * -2.5982077e-5) / (exp((A_v / fneb_4020) / logR_u) - logR_u))) * Pop_10Myr),0.0027752439411693045,Pop_10Myr*(A_v*Pop_10Myr/T_e + n_e*(-2.5982077e-5)/(-logR_u + exp(A_v/(fneb_4020*logR_u)))) - 1*0.02382672 - 0.7513378/(n_e - (A_v + Pop_10Myr)),PySRFunction(X=>Pop_10Myr*(A_v*Pop_10Myr/T_e + n_e*(-2.5982077e-5)/(-logR_u + exp(A_v/(fneb_4020*logR_u)))) - 1*0.02382672 - 0.7513378/(n_e - (A_v + Pop_10Myr)))
