,complexity,loss,equation,score,sympy_format,lambda_format
0,1,0.14603919,-0.1427636,0.0,-0.142763600000000,PySRFunction(X=>-0.142763600000000)
1,3,0.14119399,n_e * -0.0011562894,0.016870124966257352,n_e*(-0.0011562894),PySRFunction(X=>n_e*(-0.0011562894))
2,4,0.13930435,log10(logR_u + -2.0287168),0.013473652549310154,log10(logR_u - 2.0287168),PySRFunction(X=>log10(logR_u - 2.0287168))
3,5,0.13463296,(n_e * -0.07316175) / Pop_10Myr,0.03410884693078519,n_e*(-0.07316175)/Pop_10Myr,PySRFunction(X=>n_e*(-0.07316175)/Pop_10Myr)
4,7,0.12932871,(-901.10504 / T_e) / (Pop_10Myr / n_e),0.020097479020139412,-901.10504/(T_e*(Pop_10Myr/n_e)),PySRFunction(X=>-901.10504/(T_e*(Pop_10Myr/n_e)))
5,9,0.12900256,-1130.6677 / (T_e / ((n_e + -24.051064) / Pop_10Myr)),0.001262526883762715,-1130.6677*(n_e - 24.051064)/(Pop_10Myr*T_e),PySRFunction(X=>-1130.6677*(n_e - 24.051064)/(Pop_10Myr*T_e))
6,10,0.12209493,(A_neb / exp((n_e * n_e) / T_e)) + -0.23993205,0.055033392212985824,A_neb/exp(n_e*n_e/T_e) - 0.23993205,PySRFunction(X=>A_neb/exp(n_e*n_e/T_e) - 0.23993205)
7,12,0.120132536,((A_neb + fneb_4020) / exp(n_e * (n_e / T_e))) + -0.26869804,0.008101628469446256,(A_neb + fneb_4020)/exp(n_e*n_e/T_e) - 0.26869804,PySRFunction(X=>(A_neb + fneb_4020)/exp(n_e*n_e/T_e) - 0.26869804)
8,13,0.11198485,A_neb - ((A_neb / ((Pop_10Myr / n_e) / (0.015063885 / fneb_4020))) - -0.22584732),0.07023200568569542,A_neb - (A_neb/((Pop_10Myr/(n_e*((0.015063885/fneb_4020))))) - 1*(-0.22584732)),PySRFunction(X=>A_neb - (A_neb/((Pop_10Myr/(n_e*((0.015063885/fneb_4020))))) - 1*(-0.22584732)))
9,15,0.11055235,((fneb_4020 * 19.830418) * (A_neb - 0.19443381)) + (A_neb / ((Pop_10Myr / n_e) / -0.32626572)),0.006437214930646728,A_neb/((Pop_10Myr/((-0.32626572)*n_e))) + fneb_4020*19.830418*(A_neb - 1*0.19443381),PySRFunction(X=>A_neb/((Pop_10Myr/((-0.32626572)*n_e))) + fneb_4020*19.830418*(A_neb - 1*0.19443381))
